id,name,url,enabled
STOC,ACM Symposium on Theory of Computing,https://acm-stoc.org,true
FOCS,The IEEE Symposium on Foundations of Computer Science,https://focs.computer.org/,true
SODA,ACM-SIAM Symposium on Discrete Algorithms,https://www.siam.org/conferences-events/siam-conferences/soda26/,true
ICALP,"International Colloquium on Automata, Languages, and Programming",https://eatcs.org/index.php/future-icalps,true
ESA,European Symposium on Algorithms,https://algo-conference.org/esa/,true
ISAAC,International Symposium on Algorithms and Computation,https://www.kurims.kyoto-u.ac.jp/isaac/ISAAC.html,true
SoCG,The International Symposium on Computational Geometry,https://computational-geometry.org/cg-week/socg/,true
CCCG,The Canadian Conference on Computational Geometry,https://cccg.ca/,true
ITCS,Innovations in Theoretical Computer Science,http://itcs-conf.org/index.html,true
SWAT,Scandinavian Symposium on Algorithm Theory,https://swat2026.compute.dtu.dk/,true
ISSAC,The International Symposium on Symbolic and Algebraic Computation,https://www.issac-conference.org,true
WALCOM,International Conference and Workshops on Algorithms and Computation,https://www.walcom-conference.org/,true
AAAC,Annual Meeting of Asian Association for gorithms and Computation,http://asia-algo-comp.org,true
WAAC,Japan–Korea/Korea–Japan Joint Workshop on Algorithms and Computation,https://waac-alg-comp.github.io,true
APPROX,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,https://approxconference.com,true
RANDOM,International Conference on Randomization and Computation,https://randomconference.com,true
IPEC,International Symposium on Parameterized and Exact Computation,https://algo-conference.org,true
WAOA,The Workshop on Approximation and Online Algorithms,https://algo-conference.org/,true
ACDA,SIAM Conference on Applied and Computational Discrete Algorithms,https://www.siam.org/conferences-events/siam-conferences/acda25/,true
PODC,ACM Symposium on Principles of Distributed Computing,https://www.podc.org/,true
DISC,International Symposium on Distributed Computing,https://www.disc-conference.org/wp/,true
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,https://spaa.acm.org,true
SIROCCO,International Colloquium on Structural Information and Communication Complexity,https://sirocco.hiit.fi,true
OPODIS,International Conference on Principles of Distributed Systems,https://opodis.net,true
IPCO,Integer Programming and Combinatorial Optimization,https://mathopt.zib.de/?nav=ipco,true
ISMP,International Symposium on Mathematical Programming,https://www.ismp.or.kr/html/,true
INFORMS,INFORMS Annual Meeting,https://www.informs.org/Meetings-Conferences/INFORMS-Conference-Calendar,true
EURO,International Conference on Operations Research,https://www.euro-online.org/web/pages/100/conferences,true
MIP,The Mixed Integer Programming Workshop,https://www.mixedinteger.org/,true
MOPTA,Modeling and Optimization: Theory and Applications,https://coral.ise.lehigh.edu/mopta2026/,true
CPAIOR,"International Conference on the Integration of Constraint Programming, Artificial Intelligence, and Operations Research",https://cpaior.org,true
IFORS,International Federation of Operational Research Societies,https://www.ifors.org/,true
ALGO,Annual Meeting Combining the Premier Algorithmic Conference,https://algo-conference.org/,true
SIGAL,情報処理学会アルゴリズム研究会,http://www.ipsj-sigal.or.jp/,true
COMP,電子情報通信学会コンピュテーション研究会,https://www.ieice.org/~comp/,true
JCDCGGG,"the Japan Conference on Discrete and Computational Geometry, Graphs, and Games",http://www.alg.cei.uec.ac.jp/itohiro/JCDCGG/,true
LA-summer,夏のLAシンポジウム,https://la-symposium.github.io/index.html,true
LA-winter,冬のLAシンポジウム,https://la-symposium.github.io/index.html,true
FIT,情報科学技術フォーラム,https://www.ipsj.or.jp/event/fit/fit.html,true
COSS,RIMS 共同研究「組合せ最適化セミナー」,https://www.kurims.kyoto-u.ac.jp/coss/coss2025/coss2025.html,true
JSIAM,日本応用数理学会年会,https://jsiam.org/jsiam_archive/past_meetings,true
ORSJ-spring,OR学会 春季研究発表会,https://orsj.org/nc-dummy,true
ORSJ-autumn,OR学会 秋季研究発表会,https://orsj.org/nc-dummy,true
RAMP,RAMP　数理最適化シンポジウム,https://orsj.org/ramp/,true
TSUKUBA,未来を担う若手研究者の集い（つくば合宿）,https://orsj.org/raota/,true
AAAI,The Association for the Advancement of Artificial Intelligence,https://aaai.org/conference/aaai/,true
